Name,Id,Ranking,Gender,Category,Year_Ranking,Week_ranking,Country,Brith_Code,DOB,Reach,Height,Weight,Nickname,Wins,Draws,Losses,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
"Walker, Johnny",sr:competitor:511852,11,male,light_heavyweight,2025,19,BRAZIL,BRA,1992-03-30,208.0,198.0,93.4,,21.0,0.0,9.0,3.87,53.0,3.12,44.0,0.45,100.0,57.0,0.9
"Murzakanov, Azamat",sr:competitor:346976,12,male,light_heavyweight,2025,19,RUSSIAN FEDERATION,RUS,1989-04-12,182.0,179.0,93.0,Professional,14.0,0.0,0.0,4.72,56.0,2.9,61.0,0.62,15.0,83.0,0.0
"Mingyang, Zhang",sr:competitor:913003,13,male,light_heavyweight,2025,19,,,1998-08-16,191.0,189.0,93.4,Mountain Tiger,19.0,0.0,6.0,10.91,64.0,4.55,53.0,0.0,0.0,50.0,0.0
"Guskov, Bogdan",sr:competitor:1049263,14,male,light_heavyweight,2025,19,,,1992-09-12,193.0,190.0,92.8,Czarevitch,17.0,0.0,3.0,3.96,55.0,3.22,43.0,0.0,0.0,57.0,1.2
"Menifield, Alonzo",sr:competitor:449099,15,male,light_heavyweight,2025,19,UNITED STATES,USA,1987-10-18,193.0,183.0,93.0,Atomic,16.0,1.0,5.0,4.0,55.0,3.92,49.0,0.56,31.0,78.0,0.2
"Jones, Jon",sr:competitor:253371,0,male,heavyweight,2025,19,UNITED STATES,USA,1987-07-19,215.0,194.0,112.5,Bones,28.0,0.0,1.0,4.38,58.0,2.24,64.0,1.89,45.0,95.0,0.5
"Aspinall, Tom",sr:competitor:545279,1,male,heavyweight,2025,19,ENGLAND,ENG,1993-04-11,198.0,196.0,113.9,,15.0,0.0,3.0,8.07,67.0,2.89,65.0,3.27,100.0,100.0,1.6
"Gane, Ciryl",sr:competitor:595034,2,male,heavyweight,2025,19,FRANCE,FRA,1990-05-08,206.0,193.0,113.4,Bon Gamin,12.0,0.0,2.0,5.26,61.0,2.23,61.0,0.7,25.0,43.0,0.6
"Volkov, Alexander",sr:competitor:542161,3,male,heavyweight,2025,19,RUSSIAN FEDERATION,RUS,1988-10-24,203.0,201.0,117.0,Drago,38.0,0.0,11.0,4.97,57.0,2.99,54.0,0.61,66.0,72.0,0.2
"Pavlovich, Sergei",sr:competitor:515358,4,male,heavyweight,2025,19,RUSSIAN FEDERATION,RUS,1992-05-13,213.0,191.0,112.9,,19.0,0.0,3.0,4.54,43.0,3.81,54.0,0.63,40.0,75.0,0.0
"Blaydes, Curtis",sr:competitor:542009,5,male,heavyweight,2025,19,UNITED STATES,USA,1991-02-18,203.0,193.0,118.8,Razor,17.0,0.0,5.0,3.54,50.0,1.91,58.0,5.69,53.0,31.0,0.0
"Almeida, Jailton",sr:competitor:820044,6,male,heavyweight,2025,19,BRAZIL,BRA,1991-06-26,201.0,191.0,109.3,Malhadinho,22.0,0.0,2.0,2.62,65.0,0.89,41.0,6.58,60.0,60.0,2.4
"Spivak, Sergey",sr:competitor:567207,7,male,heavyweight,2025,19,,,1995-01-24,198.0,190.0,108.0,Polar Bear,17.0,0.0,5.0,,,,,,,,
"Tybura, Marcin",sr:competitor:250173,8,male,heavyweight,2025,19,POLAND,POL,1985-11-09,198.0,191.0,113.3,Tybur,27.0,0.0,9.0,3.6,48.0,3.31,55.0,1.39,33.0,75.0,0.1
"Lewis, Derrick",sr:competitor:542099,9,male,heavyweight,2025,19,UNITED STATES,USA,1985-02-07,201.0,191.0,119.7,The Black Beast,28.0,0.0,12.0,2.48,50.0,2.48,40.0,0.57,26.0,52.0,0.0
"Tuivasa, Tai",sr:competitor:393034,10,male,heavyweight,2025,19,AUSTRALIA,AUS,1993-03-16,191.0,188.0,120.2,Bam Bam,14.0,0.0,8.0,3.77,46.0,5.18,44.0,0.0,0.0,57.0,0.0
"Cortes-Acosta, Waldo",sr:competitor:855381,11,male,heavyweight,2025,19,,,1991-10-03,198.0,193.0,118.6,Salsa Boy,13.0,0.0,1.0,5.76,49.0,3.47,55.0,0.49,50.0,66.0,0.2
"Gaziev, Shamil",sr:competitor:1026697,12,male,heavyweight,2025,19,,,1990-02-10,199.0,193.0,117.9,,14.0,0.0,1.0,2.57,48.0,3.87,44.0,0.96,30.0,83.0,0.3
"Parkin, Michael",sr:competitor:928581,13,male,heavyweight,2025,19,,,1995-10-02,201.0,193.0,118.0,,10.0,0.0,1.0,,,,,,,,
"Teixeira, Tallison",sr:competitor:1185501,14,male,heavyweight,2025,19,,,1999-12-07,211.0,201.0,117.0,Xicao,8.0,0.0,0.0,14.61,59.0,7.5,59.0,0.0,0.0,0.0,0.0
"Buday, Martin",sr:competitor:570405,15,male,heavyweight,2025,19,SLOVAKIA,SVK,1991-11-11,196.0,193.0,120.7,Badys,15.0,0.0,2.0,4.67,53.0,5.0,55.0,0.17,20.0,100.0,0.2
"Zhang, Weili",sr:competitor:542175,0,female,womens_strawweight,2025,19,CHINA,CHN,1989-08-13,160.0,163.0,52.2,Magnum,26.0,0.0,3.0,,,,,,,,
"Jandiroba, Virna",sr:competitor:399229,1,female,womens_strawweight,2025,19,BRAZIL,BRA,1988-05-30,163.0,160.0,52.6,Carcara,22.0,0.0,3.0,1.97,38.0,2.55,57.0,2.37,33.0,73.0,1.8
"Suarez, Tatiana",sr:competitor:542155,2,female,womens_strawweight,2025,19,UNITED STATES,USA,1990-12-19,168.0,165.0,52.4,,11.0,0.0,1.0,3.22,61.0,1.58,47.0,4.65,47.0,80.0,0.7
"Yan, Xiaonan",sr:competitor:395000,3,female,womens_strawweight,2025,19,CHINA,CHN,1989-06-16,160.0,166.0,52.6,Nine,19.0,0.0,5.0,,,,,,,,
"Lemos, Amanda",sr:competitor:355570,4,female,womens_strawweight,2025,19,BRAZIL,BRA,1987-05-22,165.0,163.0,52.6,Amandinha,15.0,1.0,4.0,2.89,54.0,3.46,44.0,1.14,62.0,59.0,0.7
"Andrade, Jessica",sr:competitor:261805,5,female,womens_strawweight,2025,19,BRAZIL,BRA,1991-09-25,157.0,156.0,57.2,Bate Estaca,26.0,0.0,14.0,6.39,50.0,5.49,54.0,2.21,54.0,71.0,0.3
"Dern, Mackenzie",sr:competitor:399233,6,female,womens_strawweight,2025,19,UNITED STATES,USA,1993-03-24,160.0,163.0,52.6,,15.0,0.0,5.0,3.31,40.0,3.9,52.0,0.89,17.0,25.0,1.2
"Ribas, Amanda",sr:competitor:510950,7,female,womens_strawweight,2025,19,BRAZIL,BRA,1993-08-26,168.0,160.0,52.6,,12.0,0.0,6.0,4.29,39.0,3.24,60.0,2.06,53.0,83.0,0.6
"Lucindo, Jasmin",sr:competitor:924103,8,female,womens_strawweight,2025,19,BRAZIL,BRA,2002-01-08,168.0,160.0,52.4,,17.0,0.0,6.0,,,,,,,,
"Robertson, Gillian",sr:competitor:441630,9,female,womens_strawweight,2025,19,CANADA,CAN,1995-05-17,160.0,165.0,52.4,The Savage,16.0,0.0,8.0,2.86,48.0,2.86,56.0,2.74,40.0,41.0,0.9
"Ricci, Tabatha",sr:competitor:800738,10,female,womens_strawweight,2025,19,BRAZIL,BRA,1995-02-21,157.0,155.0,52.2,Baby Shark,11.0,0.0,3.0,4.18,36.0,5.29,57.0,2.74,37.0,81.0,0.1
"Godinez, Lupita",sr:competitor:786758,11,female,womens_strawweight,2025,19,MEXICO,MEX,1993-09-06,155.0,157.0,52.4,Loopy,13.0,0.0,5.0,,,,,,,,
"Hill, Angela",sr:competitor:542071,12,female,womens_strawweight,2025,19,UNITED STATES,USA,1985-01-12,164.0,160.0,52.4,Overkill,18.0,0.0,14.0,5.47,50.0,4.92,61.0,0.81,32.0,75.0,0.1
"Pennington, Tecia",sr:competitor:237732,13,female,womens_strawweight,2025,19,UNITED STATES,USA,1989-08-16,154.0,155.0,52.2,Tiny Tornado,14.0,0.0,7.0,4.82,47.0,3.53,61.0,0.57,14.0,63.0,0.1
"Pinheiro, Luana",sr:competitor:756397,14,female,womens_strawweight,2025,19,BRAZIL,BRA,1993-11-18,157.0,163.0,52.6,,11.0,0.0,4.0,3.42,40.0,4.03,61.0,1.8,33.0,69.0,0.2
"Lookboonmee, Loma",sr:competitor:590895,15,female,womens_strawweight,2025,19,,,1996-01-18,156.0,155.0,52.2,,10.0,0.0,3.0,3.87,56.0,2.47,52.0,2.03,51.0,73.0,0.1
"Shevchenko, Valentina",sr:competitor:246053,0,female,womens_flyweight,2025,19,KYRGYZSTAN,KGZ,1988-03-07,166.0,165.0,56.2,Bullet,25.0,1.0,4.0,3.14,52.0,2.06,63.0,2.62,60.0,75.0,0.3
"Grasso, Alexa",sr:competitor:542061,1,female,womens_flyweight,2025,19,MEXICO,MEX,1993-08-09,168.0,165.0,57.2,,16.0,1.0,5.0,4.11,41.0,3.73,58.0,0.41,35.0,54.0,0.6
"Fiorot, Manon",sr:competitor:598952,2,female,womens_flyweight,2025,19,FRANCE,FRA,1990-02-17,168.0,169.0,56.7,The Beast,12.0,0.0,2.0,5.58,41.0,3.59,66.0,1.06,29.0,87.0,0.0
"Blanchfield, Erin",sr:competitor:676033,3,female,womens_flyweight,2025,19,,,1999-05-04,173.0,163.0,56.8,Cold Blooded,13.0,0.0,2.0,5.24,44.0,4.21,59.0,1.86,31.0,80.0,0.8
"Barber, Maycee",sr:competitor:462103,4,female,womens_flyweight,2025,19,UNITED STATES,USA,1998-05-18,165.0,165.0,56.7,The Future,14.0,0.0,2.0,4.7,53.0,2.9,54.0,1.44,43.0,53.0,0.1
"Silva, Natalia",sr:competitor:890667,5,female,womens_flyweight,2025,19,BRAZIL,BRA,1997-02-03,165.0,163.0,56.9,,19.0,1.0,5.0,5.04,46.0,2.46,65.0,0.34,25.0,92.0,0.0
"Namajunas, Rose",sr:competitor:237730,6,female,womens_flyweight,2025,19,UNITED STATES,USA,1992-06-29,165.0,165.0,56.6,Thug,13.0,0.0,7.0,3.71,42.0,3.48,63.0,1.46,50.0,61.0,0.4
"Andrade, Jessica",sr:competitor:261805,7,female,womens_flyweight,2025,19,BRAZIL,BRA,1991-09-25,157.0,156.0,57.2,Bate Estaca,26.0,0.0,14.0,6.39,50.0,5.49,54.0,2.21,54.0,71.0,0.3
"Araujo, Viviane",sr:competitor:579365,8,female,womens_flyweight,2025,19,BRAZIL,BRA,1986-11-21,173.0,163.0,57.2,Vivi,13.0,0.0,6.0,4.04,47.0,4.87,56.0,1.86,43.0,80.0,0.7
"Jasudavicius, Jasmine",sr:competitor:820046,9,female,womens_flyweight,2025,19,CANADA,CAN,1989-03-01,173.0,170.0,56.3,,14.0,0.0,3.0,3.71,45.0,3.63,51.0,2.61,44.0,75.0,0.6
"Cortez, Tracy",sr:competitor:372608,10,female,womens_flyweight,2025,19,UNITED STATES,USA,1993-12-10,166.0,165.0,57.2,,11.0,0.0,2.0,3.72,47.0,3.02,57.0,2.09,45.0,62.0,0.3
"Silva, Karine",sr:competitor:847512,11,female,womens_flyweight,2025,19,BRAZIL,BRA,1993-12-02,170.0,165.0,56.9,Killer,18.0,0.0,5.0,3.04,38.0,3.14,47.0,2.79,50.0,0.0,1.9
"Maverick, Miranda",sr:competitor:324143,12,female,womens_flyweight,2025,19,,,1997-07-01,166.0,161.0,56.9,Fear The,17.0,0.0,5.0,3.39,45.0,2.31,60.0,2.39,41.0,44.0,0.3
"O'Neill, Casey",sr:competitor:775996,13,female,womens_flyweight,2025,19,,,1997-10-07,175.0,168.0,56.9,King,10.0,0.0,2.0,7.89,52.0,5.65,57.0,1.45,34.0,70.0,0.7
"Da Silva, Ariane",sr:competitor:542103,14,female,womens_flyweight,2025,19,BRAZIL,BRA,1994-01-26,170.0,168.0,57.2,The Queen,17.0,0.0,10.0,4.04,41.0,3.87,53.0,0.52,55.0,68.0,0.3
"Aldrich, Jj",sr:competitor:305006,15,female,womens_flyweight,2025,19,UNITED STATES,USA,1992-09-29,171.0,165.0,56.8,,14.0,0.0,7.0,3.96,47.0,4.32,61.0,0.75,26.0,67.0,0.0
"Peña, Julianna",sr:competitor:268067,0,female,womens_bantamweight,2025,19,UNITED STATES,USA,1989-08-19,175.0,168.0,61.2,The Venezuelan Vixen,13.0,0.0,5.0,,,,,,,,
"Pennington, Raquel",sr:competitor:542125,1,female,womens_bantamweight,2025,19,UNITED STATES,USA,1988-09-05,171.0,170.0,61.1,Rocky,16.0,0.0,10.0,4.1,49.0,3.32,61.0,0.83,27.0,62.0,0.6
"Harrison, Kayla",sr:competitor:476142,2,female,womens_bantamweight,2025,19,UNITED STATES,USA,1990-07-02,168.0,173.0,61.7,,18.0,0.0,1.0,4.87,64.0,1.19,64.0,2.75,30.0,100.0,0.7
"Vieira, Ketlen",sr:competitor:288703,3,female,womens_bantamweight,2025,19,BRAZIL,BRA,1991-08-26,173.0,173.0,61.2,Fenomeno,14.0,0.0,4.0,2.92,41.0,3.9,51.0,1.39,44.0,88.0,0.6
"Dumont Viana, Norma",sr:competitor:669385,4,female,womens_bantamweight,2025,19,BRAZIL,BRA,1990-10-01,170.0,169.0,61.7,The Immortal,12.0,0.0,2.0,,,,,,,,
"Chiasson, Macy",sr:competitor:542017,5,female,womens_bantamweight,2025,19,UNITED STATES,USA,1991-07-27,183.0,180.0,61.5,,10.0,0.0,3.0,3.77,46.0,2.79,44.0,2.37,38.0,70.0,0.4
"Aldana, Irene",sr:competitor:541997,6,female,womens_bantamweight,2025,19,MEXICO,MEX,1988-03-26,174.0,175.0,61.7,,15.0,0.0,8.0,5.19,39.0,6.64,56.0,0.15,50.0,77.0,0.2
"Perez, Ailin",sr:competitor:905733,7,female,womens_bantamweight,2025,19,ARGENTINA,ARG,1994-10-05,168.0,165.0,61.2,Fiona,12.0,0.0,2.0,3.1,54.0,1.79,55.0,4.68,46.0,66.0,0.2
"Bueno Silva, Mayra",sr:competitor:501754,8,female,womens_bantamweight,2025,19,BRAZIL,BRA,1991-08-22,169.0,168.0,57.2,Sheetara,10.0,1.0,5.0,3.83,58.0,4.85,51.0,0.57,29.0,63.0,1.5
"Santos, Yana",sr:competitor:542083,9,female,womens_bantamweight,2025,19,RUSSIAN FEDERATION,RUS,1989-11-11,174.0,173.0,61.7,,15.0,0.0,8.0,4.42,58.0,3.07,52.0,0.87,50.0,53.0,0.1
"Rosa, Karol",sr:competitor:618456,10,female,womens_bantamweight,2025,19,BRAZIL,BRA,1994-12-30,171.0,165.0,61.5,,18.0,0.0,7.0,6.22,55.0,4.84,49.0,1.09,46.0,70.0,0.0
"Cavalcanti, Jacqueline",sr:competitor:1049265,11,female,womens_bantamweight,2025,19,BRAZIL,BRA,1997-08-29,178.0,175.0,61.2,,9.0,0.0,1.0,5.73,46.0,3.32,70.0,0.0,0.0,84.0,0.0
"Cornolle, Nora",sr:competitor:1027333,12,female,womens_bantamweight,2025,19,,,1989-06-12,170.0,169.0,62.6,,9.0,0.0,2.0,3.07,54.0,1.91,62.0,0.33,11.0,50.0,0.3
"Tate, Miesha",sr:competitor:246049,13,female,womens_bantamweight,2025,19,UNITED STATES,USA,1986-08-18,165.0,168.0,61.5,Cupcake,20.0,0.0,10.0,2.62,44.0,3.05,51.0,1.97,30.0,56.0,1.2
"Edwards, Joselyne",sr:competitor:768194,14,female,womens_bantamweight,2025,19,PANAMA,PAN,1995-09-29,178.0,173.0,61.7,La Pantera,15.0,0.0,6.0,4.62,53.0,3.2,49.0,1.31,41.0,61.0,0.6
"Chandler, Chelsea",sr:competitor:424927,15,female,womens_bantamweight,2025,19,,,1990-11-23,173.0,174.0,60.8,,6.0,0.0,3.0,3.55,45.0,4.44,40.0,0.87,60.0,28.0,0.0
