Name,Record,Fighter URL,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,N_Name,id,weight_class
Grant Dawson,23-2-1,http://www.ufcstats.com/fighter-details/99bd51917728c25d,"5' 10""",155 lbs.,"72""",Switch,"Feb 20, 1994",3.2,52%,2.11,44%,3.87,40%,57%,1.1,"Dawson, Grant",sr:competitor:511478,featherweight(136-145)
Mike Perry,14-8-0,http://www.ufcstats.com/fighter-details/f2b6fdb20675b11c,"5' 10""",170 lbs.,"71""",Orthodox,"Sep 15, 1991",4.32,47%,5.16,52%,0.81,40%,78%,0.2,"Perry, Mike",sr:competitor:278267,welterweight(156-170)
Marcin Prachnio,17-8-0,http://www.ufcstats.com/fighter-details/6370c1c1e12723d5,"6' 3""",205 lbs.,"74""",Orthodox,"Jul 14, 1988",5.57,54%,3.24,54%,0.15,20%,53%,0.0,"Prachnio, Marcin",sr:competitor:542129,light_heavyweight(186-205)
Chris Gruetzemacher,15-5-0,http://www.ufcstats.com/fighter-details/feaf00f3373435d6,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986",6.18,57%,4.96,52%,0.21,50%,65%,0.0,"Gruetzemacher, Chris",sr:competitor:426253,lightweight(146-155)
Gavin Tucker,13-3-0,http://www.ufcstats.com/fighter-details/da816417a579a0bd,"5' 6""",145 lbs.,"66""",Southpaw,"Jun 17, 1986",4.29,44%,4.18,57%,3.13,44%,53%,1.5,"Tucker, Gavin",sr:competitor:316725,featherweight(136-145)
Blake Bilder,8-2-1,http://www.ufcstats.com/fighter-details/5095b0920a3602aa,"5' 8""",145 lbs.,"68""",Switch,"Jul 12, 1990",3.81,48%,4.15,53%,0.31,7%,71%,0.6,"Bilder, Blake",sr:competitor:931403,featherweight(136-145)
Elves Brener,16-5-0,http://www.ufcstats.com/fighter-details/48a9a128784d53d1,"5' 10""",155 lbs.,"72""",Orthodox,"Sep 27, 1997",3.99,47%,5.3,48%,1.23,23%,76%,0.0,"Brener, Elves",sr:competitor:983027,lightweight(146-155)
Thomas Almeida,22-5-0,http://www.ufcstats.com/fighter-details/2b074403b7c6cdb4,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",4.84,43%,4.93,61%,0.17,14%,75%,0.0,"Almeida, Thomas",sr:competitor:260635,featherweight(136-145)
Jorge Masvidal,35-17-0,http://www.ufcstats.com/fighter-details/47b9e0e7703a4868,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",4.05,47%,3.05,64%,1.38,59%,72%,0.3,"Masvidal, Jorge",sr:competitor:260633,welterweight(156-170)
Hu Yaozong,3-3-0,http://www.ufcstats.com/fighter-details/f1175ea3aafbf351,"6' 3""",185 lbs.,"72""",Orthodox,"Apr 07, 1995",3.35,48%,5.09,35%,0.0,0%,33%,0.4,"Yaozong, Hu",sr:competitor:394998,middleweight(171-185)
Karl Roberson,9-6-0,http://www.ufcstats.com/fighter-details/37d5b176d438d2a5,"6' 1""",205 lbs.,"74""",Southpaw,"Oct 04, 1990",2.57,51%,2.42,57%,0.72,40%,40%,0.5,"Roberson, Karl",sr:competitor:391674,light_heavyweight(186-205)
Marcin Tybura,27-9-0,http://www.ufcstats.com/fighter-details/c9cf753cfdf77fc2,"6' 3""",249 lbs.,"78""",Orthodox,"Nov 09, 1985",3.6,48%,3.31,55%,1.39,33%,75%,0.1,"Tybura, Marcin",sr:competitor:250173,heavyweight(206-265)
Ateba Gautier,7-1-0,http://www.ufcstats.com/fighter-details/2f815ed5f8278ba6,"6' 4""",185 lbs.,"81""",Switch,"Apr 10, 2002",6.06,64%,2.23,51%,0.0,0%,90%,0.0,"Gautier, Ateba",sr:competitor:1185507,middleweight(171-185)
Bryce Mitchell,17-4-0,http://www.ufcstats.com/fighter-details/d9c6f19f958643e9,"5' 10""",145 lbs.,"70""",Southpaw,"Oct 04, 1994",2.44,59%,1.64,60%,3.27,36%,33%,1.3,"Mitchell, Bryce",sr:competitor:464153,featherweight(136-145)
Niko Price,16-8-0 (2 NC),http://www.ufcstats.com/fighter-details/d8da10db80131bec,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 29, 1989",5.21,42%,5.58,48%,1.04,29%,52%,0.7,"Price, Niko",sr:competitor:307116,welterweight(156-170)
KB Bhullar,8-2-0,http://www.ufcstats.com/fighter-details/9cd047a828dd7515,"6' 4""",185 lbs.,"78""",Switch,"Oct 12, 1991",4.31,49%,5.39,45%,0.0,0%,0%,0.0,"Bhullar, KB",sr:competitor:748877,middleweight(171-185)
Karl Reed,6-1-0,http://www.ufcstats.com/fighter-details/11337d069261bf3a,"6' 3""",205 lbs.,"78""",Orthodox,"Oct 27, 1988",2.04,44%,3.84,38%,1.06,22%,53%,0.0,"Reed, Karl",sr:competitor:510962,light_heavyweight(186-205)
Victor Dias,11-3-0,http://www.ufcstats.com/fighter-details/f7202b3130421d27,"5' 6""",125 lbs.,"69""",Orthodox,"Dec 26, 1990",2.87,44%,5.8,55%,5.0,41%,0%,0.0,"Dias, Victor",sr:competitor:453957,flyweight(116-125)
Ricky Turcios,13-5-0,http://www.ufcstats.com/fighter-details/cd3d7e37ff2d679c,"5' 9""",135 lbs.,"71""",Orthodox,"Jun 05, 1993",4.73,40%,3.72,52%,0.91,20%,44%,0.4,"Turcios, Ricky",sr:competitor:510960,bantamweight(126-135)
Roosevelt Roberts,12-6-0 (1 NC),http://www.ufcstats.com/fighter-details/37c5366d18ed6c05,"6' 2""",155 lbs.,"73""",Orthodox,"Feb 11, 1994",2.84,43%,3.1,52%,1.18,26%,50%,0.7,"Roberts, Roosevelt",sr:competitor:465475,lightweight(146-155)
Ketlen Souza,15-5-0,http://www.ufcstats.com/fighter-details/8bd4200561c77a62,"5' 3""",115 lbs.,"63""",Orthodox,"Aug 18, 1994",4.92,59%,4.46,51%,0.43,25%,64%,0.4,"Souza, Ketlen",sr:competitor:1010977,strawweight(106-115)
Andre Fili,24-12-0 (1 NC),http://www.ufcstats.com/fighter-details/8fd808923cffff82,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.84,37%,4.15,51%,2.17,44%,70%,0.2,"Fili, Andre",sr:competitor:253379,featherweight(136-145)
Charles Rosa,14-8-0,http://www.ufcstats.com/fighter-details/40093d1d2d78394e,"5' 9""",145 lbs.,"69""",Switch,"Aug 24, 1986",3.08,36%,3.86,47%,1.67,35%,38%,1.0,"Rosa, Charles",sr:competitor:326991,featherweight(136-145)
Ricky Steele,6-0-0,http://www.ufcstats.com/fighter-details/09a6ed4ee97a5606,"5' 9""",135 lbs.,"74""",Orthodox,"May 26, 1988",4.07,70%,2.93,50%,0.0,0%,91%,0.0,"Steele, Ricky",sr:competitor:617064,bantamweight(126-135)
Piera Rodriguez,10-2-0,http://www.ufcstats.com/fighter-details/e375cb5caf4717b6,"5' 3""",115 lbs.,"63""",Orthodox,"Nov 11, 1992",3.4,48%,2.63,57%,4.06,51%,66%,0.0,"Rodriguez, Piera",sr:competitor:843568,strawweight(106-115)
Mitch Gagnon,12-5-0,http://www.ufcstats.com/fighter-details/b8592b4a383696cd,"5' 5""",135 lbs.,"65""",Southpaw,"Oct 10, 1984",2.76,46%,2.21,61%,1.16,25%,65%,1.9,"Gagnon, Mitch",sr:competitor:305026,bantamweight(126-135)
Luana Carolina,11-4-0,http://www.ufcstats.com/fighter-details/528b071cf3da7c56,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 11, 1993",4.81,50%,3.54,50%,0.34,37%,74%,0.6,"Carolina, Luana",sr:competitor:563262,flyweight(116-125)
Dominick Reyes,15-4-0,http://www.ufcstats.com/fighter-details/2e19380f34871c6a,"6' 4""",205 lbs.,"77""",Southpaw,"Dec 26, 1989",5.58,54%,3.54,50%,0.31,28%,82%,0.3,"Reyes, Dominick",sr:competitor:347406,light_heavyweight(186-205)
Malcolm Wellmaker,9-0-0,http://www.ufcstats.com/fighter-details/2e45d08b3f2f02c8,"5' 10""",135 lbs.,"71""",Switch,"Jun 04, 1994",5.82,61%,6.27,53%,0.0,0%,100%,0.0,"Wellmaker, Malcolm",sr:competitor:1169279,bantamweight(126-135)
Jarred Brooks,13-2-0,http://www.ufcstats.com/fighter-details/81d9df19e255b8b6,"5' 3""",125 lbs.,"62""",Switch,"May 02, 1993",2.12,46%,1.66,62%,4.54,57%,69%,0.6,"Brooks, Jarred",sr:competitor:314901,flyweight(116-125)
Johnny Walker,21-9-0 (1 NC),http://www.ufcstats.com/fighter-details/c21f26bbde777573,"6' 6""",205 lbs.,"82""",Orthodox,"Mar 30, 1992",3.87,53%,3.12,44%,0.45,100%,57%,0.9,"Walker, Johnny",sr:competitor:511852,light_heavyweight(186-205)
Morgan Charriere,20-11-1,http://www.ufcstats.com/fighter-details/5b03b61f9d90125e,"5' 8""",145 lbs.,"69""",Orthodox,"Oct 26, 1995",3.46,49%,4.15,51%,1.91,50%,83%,0.4,"Charriere, Morgan",sr:competitor:552129,featherweight(136-145)
Josh Emmett,19-5-0,http://www.ufcstats.com/fighter-details/fba03cd6cc28dc41,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",3.75,35%,4.46,60%,1.09,37%,46%,0.1,"Emmett, Josh",sr:competitor:256285,featherweight(136-145)
Taylor Lapilus,21-4-0,http://www.ufcstats.com/fighter-details/8b1ed83b02303075,"5' 6""",135 lbs.,"73""",Southpaw,"Apr 08, 1992",4.59,48%,2.61,62%,0.27,33%,77%,0.3,"Lapilus, Taylor",sr:competitor:278295,bantamweight(126-135)
Ismail Naurdiev,24-7-0,http://www.ufcstats.com/fighter-details/6a96ad1bc34fb113,"5' 10""",185 lbs.,"74""",Orthodox,"Aug 18, 1996",3.41,53%,1.52,66%,1.6,40%,72%,0.2,"Naurdiev, Ismail",sr:competitor:543827,welterweight(156-170)
Darren Till,18-5-1,http://www.ufcstats.com/fighter-details/9ce6d5a03af801b7,"6' 0""",185 lbs.,"74""",Southpaw,"Dec 24, 1992",2.3,46%,3.31,56%,0.55,46%,69%,0.0,"Till, Darren",sr:competitor:338797,welterweight(156-170)
Zhalgas Zhumagulov,14-9-0,http://www.ufcstats.com/fighter-details/55fa6ce3e522c8bb,"5' 4""",125 lbs.,"66""",Switch,"Aug 29, 1988",5.24,43%,5.86,52%,1.3,19%,75%,0.2,"Zhumagulov, Zhalgas",sr:competitor:723647,flyweight(116-125)
John Allan,13-7-0 (1 NC),http://www.ufcstats.com/fighter-details/6ebe96a116e79e52,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",3.56,42%,5.74,52%,1.4,71%,50%,0.8,"Allan, John",sr:competitor:605252,light_heavyweight(186-205)
Korey Kuppe,8-4-0,http://www.ufcstats.com/fighter-details/780a2897055e3ee3,"6' 5""",170 lbs.,"77""",Switch,"Jan 23, 1989",0.73,73%,1.33,31%,0.0,0%,69%,1.0,"Kuppe, Korey",sr:competitor:742873,welterweight(156-170)
Aaron Jeffery,10-3-0,http://www.ufcstats.com/fighter-details/ccdcb20370be62a3,"6' 2""",185 lbs.,"73""",Orthodox,"Nov 14, 1992",3.1,45%,4.46,34%,0.0,0%,50%,0.0,"Jeffery, Aaron",sr:competitor:599904,middleweight(171-185)
Nikita Krylov,30-10-0,http://www.ufcstats.com/fighter-details/1091d4d957141094,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 07, 1992",4.33,54%,2.49,44%,2.24,38%,53%,1.4,"Krylov, Nikita",sr:competitor:256105,light_heavyweight(186-205)
Siyar Bahadurzada,24-8-1,http://www.ufcstats.com/fighter-details/aec185309b4843d0,"5' 11""",170 lbs.,"73""",Orthodox,"Apr 17, 1984",2.91,40%,3.23,49%,1.32,61%,62%,0.3,"Bahadurzada, Siyar",sr:competitor:244112,welterweight(156-170)
Steve Garcia,17-5-0,http://www.ufcstats.com/fighter-details/97cf1a2c7c5e7889,"6' 0""",145 lbs.,"75""",Southpaw,"May 22, 1992",5.04,56%,2.34,46%,1.17,40%,88%,0.6,"Garcia, Steve",sr:competitor:293766,bantamweight(126-135)
Muhammad Mokaev,13-0-0 (1 NC),http://www.ufcstats.com/fighter-details/75353550928a7921,"5' 7""",125 lbs.,"70""",Orthodox,"Jul 30, 2000",1.61,45%,1.35,57%,5.29,41%,25%,0.8,"Mokaev, Muhammad",sr:competitor:871341,flyweight(116-125)
Muin Gafurov,20-6-0,http://www.ufcstats.com/fighter-details/a54660deb6a8489c,"5' 7""",135 lbs.,"68""",Orthodox,"May 17, 1996",2.89,45%,2.21,52%,1.47,26%,70%,0.0,"Gafurov, Muin",sr:competitor:290272,bantamweight(126-135)
Gaston Bolanos,8-5-0,http://www.ufcstats.com/fighter-details/96924b0019b3aff1,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 14, 1992",3.28,49%,2.4,50%,0.66,100%,42%,0.0,"Bolanos, Gaston",sr:competitor:397290,bantamweight(126-135)
Claudio Puelles,13-4-0,http://www.ufcstats.com/fighter-details/d747eb273a40a920,"5' 10""",155 lbs.,"72""",Southpaw,"Apr 21, 1996",1.56,49%,2.78,46%,3.17,36%,60%,1.2,"Puelles, Claudio",sr:competitor:297300,lightweight(146-155)
Jared Vanderaa,12-10-0,http://www.ufcstats.com/fighter-details/2b68d9f125d07b42,"6' 4""",265 lbs.,"80""",Orthodox,"May 12, 1992",4.96,44%,5.67,45%,0.18,50%,20%,0.0,"Vanderaa, Jared",sr:competitor:553118,heavyweight(206-265)
Rafael Alves,20-12-0,http://www.ufcstats.com/fighter-details/029afd138865d20a,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",1.85,48%,3.3,58%,0.29,25%,44%,1.5,"Alves, Rafael",sr:competitor:736595,lightweight(146-155)
Ben Askren,19-2-0 (1 NC),http://www.ufcstats.com/fighter-details/0b31f87be71ebbb1,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",3.64,49%,5.66,36%,4.33,55%,0%,0.9,"Askren, Ben",sr:competitor:542003,welterweight(156-170)
Bogdan Grad,15-2-0,http://www.ufcstats.com/fighter-details/fb37795db81f93f3,"5' 8""",145 lbs.,"70""",Orthodox,"Sep 28, 1995",5.83,52%,7.84,47%,3.5,40%,100%,0.0,"Grad, Bogdan",sr:competitor:1010973,featherweight(136-145)
Brad Katona,16-5-0,http://www.ufcstats.com/fighter-details/7b433309b0fd12aa,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 19, 1991",4.81,52%,4.75,50%,1.86,34%,61%,0.0,"Katona, Brad",sr:competitor:458489,bantamweight(126-135)
Kamaru Usman,20-4-0,http://www.ufcstats.com/fighter-details/f1b2aa7853d1ed6e,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987",4.36,52%,2.74,54%,2.82,45%,89%,0.1,"Usman, Kamaru",sr:competitor:273539,welterweight(156-170)
Cody Haddon,8-1-0,http://www.ufcstats.com/fighter-details/8e6654e9f0461b8f,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 08, 1998",9.2,51%,3.47,64%,2.48,37%,83%,0.8,"Haddon, Cody",sr:competitor:1169271,bantamweight(126-135)
Pingyuan Liu,13-7-0,http://www.ufcstats.com/fighter-details/31bbd39c0a075d4e,"5' 6""",135 lbs.,"72""",Orthodox,"Feb 13, 1993",2.36,33%,2.99,54%,0.25,20%,56%,1.0,"Liu, Pingyuan",sr:competitor:463599,bantamweight(126-135)
Cody Durden,17-7-1,http://www.ufcstats.com/fighter-details/7f6ed67d3ed3c036,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991",3.52,45%,4.29,49%,4.06,47%,73%,0.8,"Durden, Cody",sr:competitor:732359,flyweight(116-125)
Adrian Yanez,17-6-0,http://www.ufcstats.com/fighter-details/0232cabbc30a2372,"5' 7""",135 lbs.,"70""",Orthodox,"Nov 29, 1993",6.23,41%,5.75,54%,0.0,0%,81%,0.0,"Yanez, Adrian",sr:competitor:733463,bantamweight(126-135)
Kennedy Nzechukwu,14-5-0,http://www.ufcstats.com/fighter-details/8667caa0451d245b,"6' 5""",236 lbs.,"83""",Southpaw,"Jun 13, 1992",5.37,46%,4.89,51%,0.56,45%,81%,0.2,"Nzechukwu, Kennedy",sr:competitor:467809,light_heavyweight(186-205)
Alex White,13-6-0,http://www.ufcstats.com/fighter-details/c17041f1bb5768d8,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988",3.76,42%,3.07,60%,0.92,28%,71%,0.5,"White, Alex",sr:competitor:466525,lightweight(146-155)
Yanal Ashmouz,8-1-0,http://www.ufcstats.com/fighter-details/c739c2995a275314,"5' 9""",155 lbs.,"69""",Orthodox,"Mar 31, 1995",2.94,50%,4.54,55%,4.8,50%,60%,0.0,"Ashmouz, Yanal",sr:competitor:984685,lightweight(146-155)
Joel Alvarez,22-3-0,http://www.ufcstats.com/fighter-details/58bbef3770bb2dfc,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",4.51,53%,3.32,50%,0.0,0%,40%,1.2,"Alvarez, Joel",sr:competitor:543493,lightweight(146-155)
Nurullo Aliev,10-0-0,http://www.ufcstats.com/fighter-details/ca28cdf526d6b6e9,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000",2.43,45%,1.07,58%,2.6,54%,0%,0.0,"Aliev, Nurullo",sr:competitor:678807,lightweight(146-155)
Laureano Staropoli,9-5-0,http://www.ufcstats.com/fighter-details/a12a8314adc1c1c9,"6' 1""",185 lbs.,"71""",Orthodox,"Feb 27, 1993",3.31,34%,3.73,54%,0.83,26%,48%,0.0,"Staropoli, Laureano",sr:competitor:515024,welterweight(156-170)
Shanna Young,9-6-0,http://www.ufcstats.com/fighter-details/568bbad0eaced57c,"5' 7""",125 lbs.,"65""",Orthodox,"Feb 20, 1991",3.18,47%,4.88,43%,0.0,0%,53%,0.6,"Young, Shanna",sr:competitor:497590,flyweight(116-125)
Priscila Cachoeira,13-6-0,http://www.ufcstats.com/fighter-details/b1e5bcaad32a3cac,"5' 7""",135 lbs.,"65""",Orthodox,"Aug 19, 1988",4.03,44%,7.15,43%,0.15,33%,65%,0.0,"Cachoeira, Priscila",sr:competitor:408277,flyweight(116-125)
Alessandro Costa,14-4-0,http://www.ufcstats.com/fighter-details/3fa97913cfd205d3,"5' 4""",125 lbs.,"67""",Orthodox,"Jan 28, 1996",4.14,47%,3.5,57%,0.27,12%,90%,0.0,"Costa, Alessandro",sr:competitor:909465,flyweight(116-125)
Marcelo Golm,6-3-0,http://www.ufcstats.com/fighter-details/ac29d508d78384c9,"6' 3""",249 lbs.,"75""",Orthodox,"Sep 15, 1992",4.27,58%,4.3,45%,0.45,50%,87%,0.5,"Golm, Marcelo",sr:competitor:542059,heavyweight(206-265)
Zarrukh Adashev,4-4-0,http://www.ufcstats.com/fighter-details/79cb2a690b9ba5e8,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",3.65,40%,3.04,64%,0.0,0%,100%,0.5,"Adashev, Zarrukh",sr:competitor:511382,flyweight(116-125)
Sergei Pavlovich,19-3-0,http://www.ufcstats.com/fighter-details/f14cf73e51b29254,"6' 3""",257 lbs.,"84""",Southpaw,"May 13, 1992",4.54,43%,3.81,54%,0.63,40%,75%,0.0,"Pavlovich, Sergei",sr:competitor:515358,heavyweight(206-265)
Misha Cirkunov,15-9-0,http://www.ufcstats.com/fighter-details/67f272324a030d00,"6' 3""",205 lbs.,"77""",Orthodox,"Feb 27, 1987",3.86,51%,3.06,57%,4.15,39%,76%,1.7,"Cirkunov, Misha",sr:competitor:265089,light_heavyweight(186-205)
Aleksa Camur,6-3-0,http://www.ufcstats.com/fighter-details/c2a670b22d2e196f,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 25, 1995",4.73,57%,4.26,54%,0.46,22%,50%,0.0,"Camur, Aleksa",sr:competitor:608622,light_heavyweight(186-205)
Mateusz Rebecki,20-2-0,http://www.ufcstats.com/fighter-details/849c5d9979df5357,"5' 7""",155 lbs.,"66""",Southpaw,"Nov 03, 1992",4.7,48%,4.13,54%,3.84,75%,45%,0.8,"Rebecki, Mateusz",sr:competitor:909495,lightweight(146-155)
Leon Shahbazyan,7-2-0,http://www.ufcstats.com/fighter-details/9eed2bcc9e0b92af,"6' 4""",170 lbs.,"74""",Orthodox,"Nov 18, 1995",6.33,52%,8.18,32%,1.46,50%,0%,0.0,"Shahbazyan, Leon",sr:competitor:596156,welterweight(156-170)
Shane Burgos,15-3-0,http://www.ufcstats.com/fighter-details/98d961097baaf308,"5' 11""",145 lbs.,"75""",Orthodox,"Mar 19, 1991",7.4,52%,6.78,56%,0.43,44%,91%,0.4,"Burgos, Shane",sr:competitor:304992,featherweight(136-145)
Justin Ledet,9-4-0 (1 NC),http://www.ufcstats.com/fighter-details/ba1e6cb3d43f7430,"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988",3.35,39%,4.82,49%,0.23,50%,42%,0.2,"Ledet, Justin",sr:competitor:276185,light_heavyweight(186-205)
Renato Moicano,20-6-1,http://www.ufcstats.com/fighter-details/b6452706b373eea1,"5' 11""",155 lbs.,"72""",Orthodox,"May 21, 1989",4.36,48%,3.55,60%,1.82,44%,71%,0.6,"Moicano, Renato",sr:competitor:257367,lightweight(146-155)
Puja Tomar,9-5-0,http://www.ufcstats.com/fighter-details/19f8a2f6eecd92ac,"5' 4""",115 lbs.,"59""",Southpaw,"Dec 05, 1993",5.61,48%,5.82,46%,0.0,0%,100%,0.0,"Tomar, Puja",sr:competitor:395098,strawweight(106-115)
Jaqueline Amorim,10-1-0,http://www.ufcstats.com/fighter-details/bc7d1ad49fcb2d08,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995",2.68,53%,1.43,64%,2.22,37%,0%,4.8,"Amorim, Jaqueline",sr:competitor:956523,strawweight(106-115)
Jessin Ayari,16-6-0,http://www.ufcstats.com/fighter-details/6eaec40f724852f4,"6' 0""",155 lbs.,"73""",Orthodox,"May 31, 1992",3.53,37%,3.59,58%,0.0,0%,50%,0.3,"Ayari, Jessin",sr:competitor:278285,lightweight(146-155)
Roman Dolidze,15-3-0,http://www.ufcstats.com/fighter-details/327d5f279895110d,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 15, 1988",3.58,42%,3.56,49%,1.11,40%,33%,0.9,"Dolidze, Roman",sr:competitor:577053,light_heavyweight(186-205)
Volkan Oezdemir,20-8-0,http://www.ufcstats.com/fighter-details/0845c81e37d3bcb3,"6' 2""",205 lbs.,"75""",Orthodox,"Sep 19, 1989",4.95,48%,4.22,55%,0.5,29%,80%,0.1,"Oezdemir, Volkan",sr:competitor:542115,light_heavyweight(186-205)
Jonny Parsons,9-3-0,http://www.ufcstats.com/fighter-details/2975297f505e9447,"5' 9""",170 lbs.,"69""",Orthodox,"Sep 06, 1991",4.65,44%,4.89,60%,0.0,0%,66%,0.0,"Parsons, Jonny",sr:competitor:843572,welterweight(156-170)
Oban Elliott,12-2-0,http://www.ufcstats.com/fighter-details/6b56e94a59b7b134,"6' 0""",170 lbs.,"72""",Orthodox,"Dec 19, 1997",4.26,49%,2.25,62%,2.16,50%,72%,0.0,"Elliott, Oban",sr:competitor:525159,welterweight(156-170)
Victor Altamirano,12-5-0,http://www.ufcstats.com/fighter-details/dc7927cd622676a7,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991",4.58,53%,3.82,53%,2.88,38%,63%,0.0,"Altamirano, Victor",sr:competitor:686289,flyweight(116-125)
Harry Hunsucker,7-6-0,http://www.ufcstats.com/fighter-details/f703250471acaf96,"6' 2""",205 lbs.,"75""",Orthodox,"Jan 03, 1989",3.54,52%,6.53,42%,0.0,0%,0%,2.0,"Hunsucker, Harry",sr:competitor:756393,heavyweight(206-265)
Mario Pinto,10-0-0,http://www.ufcstats.com/fighter-details/39d309957c5c210d,"6' 5""",265 lbs.,"79""",Orthodox,"Mar 14, 1998",3.67,71%,5.29,51%,0.0,0%,100%,0.0,"Pinto, Mario",sr:competitor:1191029,heavyweight(206-265)
Damon Jackson,23-8-1 (1 NC),http://www.ufcstats.com/fighter-details/29af297d9f1de0f8,"5' 11""",155 lbs.,"71""",Switch,"Aug 08, 1988",2.96,42%,3.47,49%,2.3,32%,37%,1.2,"Jackson, Damon",sr:competitor:686297,featherweight(136-145)
Tai Tuivasa,15-8-0,http://www.ufcstats.com/fighter-details/c62fbc117d57b943,"6' 2""",264 lbs.,"75""",Southpaw,"Mar 16, 1993",3.77,46%,5.18,44%,0.0,0%,57%,0.0,"Tuivasa, Tai",sr:competitor:393034,heavyweight(206-265)
Austin Hubbard,17-9-0,http://www.ufcstats.com/fighter-details/d2cd7a69cc55e7ed,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 22, 1991",3.87,43%,3.82,56%,1.59,31%,68%,0.1,"Hubbard, Austin",sr:competitor:573959,lightweight(146-155)
Gabriella Fernandes,10-3-0,http://www.ufcstats.com/fighter-details/a6eb54ae17a551be,"5' 6""",125 lbs.,"66""",Southpaw,"Aug 13, 1993",3.46,46%,5.5,49%,0.56,18%,60%,0.3,"Fernandes, Gabriella",sr:competitor:959595,flyweight(116-125)
Amanda Ribas,13-6-0,http://www.ufcstats.com/fighter-details/beecb672a279223e,"5' 3""",115 lbs.,"66""",Orthodox,"Aug 26, 1993",4.29,39%,3.24,60%,2.06,53%,83%,0.6,"Ribas, Amanda",sr:competitor:510950,strawweight(106-115)
Aleksei Oleinik,60-17-1,http://www.ufcstats.com/fighter-details/98c23cb6da5b3352,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977",3.29,48%,3.8,44%,1.82,46%,37%,1.9,"Oleinik, Aleksei",sr:competitor:542117,heavyweight(206-265)
Ludovit Klein,23-4-1,http://www.ufcstats.com/fighter-details/5b86d491d63890c5,"5' 7""",155 lbs.,"72""",Southpaw,"Feb 22, 1995",3.81,54%,3.22,54%,1.7,51%,91%,0.0,"Klein, Ludovit",sr:competitor:587495,lightweight(146-155)
Suman Mokhtarian,8-5-0,http://www.ufcstats.com/fighter-details/192520689012c7e4,"5' 8""",145 lbs.,"72""",Orthodox,"Jun 13, 1992",2.21,43%,6.85,48%,0.0,0%,0%,0.0,"Mokhtarian, Suman",sr:competitor:520212,featherweight(136-145)
Mitch Ramirez,8-2-0,http://www.ufcstats.com/fighter-details/e99eb0ef25885de5,"5' 11""",155 lbs.,"71""",Orthodox,"Nov 03, 1992",2.37,42%,3.34,36%,0.91,100%,0%,0.0,"Ramirez, Mitch",sr:competitor:1026713,lightweight(146-155)
Denys Bondar,14-5-0,http://www.ufcstats.com/fighter-details/2526be54e6a0e62a,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 27, 1992",4.59,50%,5.16,56%,3.99,58%,62%,0.0,"Bondar, Denys",sr:competitor:771346,flyweight(116-125)
Kevin Natividad,9-4-0,http://www.ufcstats.com/fighter-details/0c258d1d8e16e5f1,"5' 6""",135 lbs.,"70""",Orthodox,"Apr 02, 1993",2.68,34%,4.29,47%,3.66,50%,83%,0.0,"Natividad, Kevin",sr:competitor:742819,bantamweight(126-135)
Jordan Griffin,18-9-0,http://www.ufcstats.com/fighter-details/ebef46976554f975,"5' 10""",145 lbs.,"73""",Southpaw,"Feb 28, 1990",2.52,46%,3.02,50%,1.45,35%,42%,1.9,"Griffin, Jordan",sr:competitor:465489,featherweight(136-145)
Lucrezia Ria,8-2-0,http://www.ufcstats.com/fighter-details/042cc07ad5a53a33,"5' 6""",125 lbs.,--,Orthodox,"Jun 24, 1992",4.07,46%,4.4,45%,1.0,33%,0%,0.0,"Ria, Lucrezia",sr:competitor:613528,flyweight(116-125)
