Name,Id,Ranking,Gender,Category,Year_Ranking,Week_ranking,Country,Brith_Code,DOB,Reach,Height,Weight,Nickname,Wins,Draws,Losses
"Jasudavicius, Jasmine",sr:competitor:820046,9,female,womens_flyweight,2025,19,CANADA,CAN,1989-03-01,173.0,170.0,56.3,,14.0,0.0,3.0
"Cortez, Tracy",sr:competitor:372608,10,female,womens_flyweight,2025,19,UNITED STATES,USA,1993-12-10,166.0,165.0,57.2,,11.0,0.0,2.0
"Silva, Karine",sr:competitor:847512,11,female,womens_flyweight,2025,19,BRAZIL,BRA,1993-12-02,170.0,165.0,56.9,Killer,18.0,0.0,5.0
"Maverick, Miranda",sr:competitor:324143,12,female,womens_flyweight,2025,19,,,1997-07-01,166.0,161.0,56.9,Fear The,17.0,0.0,5.0
"O'Neill, Casey",sr:competitor:775996,13,female,womens_flyweight,2025,19,,,1997-10-07,175.0,168.0,56.9,King,10.0,0.0,2.0
"Da Silva, Ariane",sr:competitor:542103,14,female,womens_flyweight,2025,19,BRAZIL,BRA,1994-01-26,170.0,168.0,57.2,The Queen,17.0,0.0,10.0
"Aldrich, Jj",sr:competitor:305006,15,female,womens_flyweight,2025,19,UNITED STATES,USA,1992-09-29,171.0,165.0,56.8,,14.0,0.0,7.0
"Peña, Julianna",sr:competitor:268067,0,female,womens_bantamweight,2025,19,UNITED STATES,USA,1989-08-19,175.0,168.0,61.2,The Venezuelan Vixen,13.0,0.0,5.0
"Pennington, Raquel",sr:competitor:542125,1,female,womens_bantamweight,2025,19,UNITED STATES,USA,1988-09-05,171.0,170.0,61.1,Rocky,16.0,0.0,10.0
"Harrison, Kayla",sr:competitor:476142,2,female,womens_bantamweight,2025,19,UNITED STATES,USA,1990-07-02,168.0,173.0,61.7,,18.0,0.0,1.0
"Vieira, Ketlen",sr:competitor:288703,3,female,womens_bantamweight,2025,19,BRAZIL,BRA,1991-08-26,173.0,173.0,61.2,Fenomeno,14.0,0.0,4.0
"Dumont Viana, Norma",sr:competitor:669385,4,female,womens_bantamweight,2025,19,BRAZIL,BRA,1990-10-01,170.0,169.0,61.7,The Immortal,12.0,0.0,2.0
"Chiasson, Macy",sr:competitor:542017,5,female,womens_bantamweight,2025,19,UNITED STATES,USA,1991-07-27,183.0,180.0,61.5,,10.0,0.0,3.0
"Aldana, Irene",sr:competitor:541997,6,female,womens_bantamweight,2025,19,MEXICO,MEX,1988-03-26,174.0,175.0,61.7,,15.0,0.0,8.0
"Perez, Ailin",sr:competitor:905733,7,female,womens_bantamweight,2025,19,ARGENTINA,ARG,1994-10-05,168.0,165.0,61.2,Fiona,12.0,0.0,2.0
"Bueno Silva, Mayra",sr:competitor:501754,8,female,womens_bantamweight,2025,19,BRAZIL,BRA,1991-08-22,169.0,168.0,57.2,Sheetara,10.0,1.0,5.0
"Santos, Yana",sr:competitor:542083,9,female,womens_bantamweight,2025,19,RUSSIAN FEDERATION,RUS,1989-11-11,174.0,173.0,61.7,,15.0,0.0,8.0
"Rosa, Karol",sr:competitor:618456,10,female,womens_bantamweight,2025,19,BRAZIL,BRA,1994-12-30,171.0,165.0,61.5,,18.0,0.0,7.0
"Cavalcanti, Jacqueline",sr:competitor:1049265,11,female,womens_bantamweight,2025,19,BRAZIL,BRA,1997-08-29,178.0,175.0,61.2,,9.0,0.0,1.0
"Cornolle, Nora",sr:competitor:1027333,12,female,womens_bantamweight,2025,19,,,1989-06-12,170.0,169.0,62.6,,9.0,0.0,2.0
"Tate, Miesha",sr:competitor:246049,13,female,womens_bantamweight,2025,19,UNITED STATES,USA,1986-08-18,165.0,168.0,61.5,Cupcake,20.0,0.0,10.0
"Edwards, Joselyne",sr:competitor:768194,14,female,womens_bantamweight,2025,19,PANAMA,PAN,1995-09-29,178.0,173.0,61.7,La Pantera,15.0,0.0,6.0
"Chandler, Chelsea",sr:competitor:424927,15,female,womens_bantamweight,2025,19,,,1990-11-23,173.0,174.0,60.8,,6.0,0.0,3.0
